no;block_unique;block;block.pair;cz;population;isoline;treatment;temperature;repr.type;sum;propN_start;propN_F1;fitness;anc_pop
161;I.II_E73_Iz6;I.II;I;II;E73;Iz6;ev24;24C;WT;895;0.526548673;0.324022346;-0.202526326;I.II_ancWT6_Iz6
162;I.II_E73_Iz6;I.II;I;II;E73;Iz6;ev24;24C;WT;554;0.526548673;0.341155235;-0.185393438;I.II_ancWT6_Iz6
163;I.II_E73_Iz6;I.II;I;II;E73;Iz6;ev24;24C;WT;610;0.526548673;0.368852459;-0.157696214;I.II_ancWT6_Iz6
164;I.II_E73_Iz6;I.II;I;II;E73;Iz6;ev24;24C;WT;840;0.526548673;0.377380952;-0.14916772;I.II_ancWT6_Iz6
165;I.I_E73_Iz6;I.I;I;I;E73;Iz6;ev24;24C;WT;1155;0.739482201;0.56969697;-0.169785231;I.I_ancWT6_Iz6
166;I.I_E73_Iz6;I.I;I;I;E73;Iz6;ev24;24C;WT;1370;0.739482201;0.619708029;-0.119774171;I.I_ancWT6_Iz6
167;IV.I_E73_Iz6;IV.I;IV;I;E73;Iz6;ev24;24C;WT;154;0.643243243;0.642857143;-0.0003861;IV.I_ancWT6_Iz6
168;I.I_E73_Iz6;I.I;I;I;E73;Iz6;ev24;24C;WT;985;0.739482201;0.65177665;-0.087705551;I.I_ancWT6_Iz6
169;I.I_E73_Iz6;I.I;I;I;E73;Iz6;ev24;24C;WT;1309;0.739482201;0.653170359;-0.086311842;I.I_ancWT6_Iz6
170;IV.II_E73_Iz6;IV.II;IV;II;E73;Iz6;ev24;24C;WT;463;0.712686567;0.665226782;-0.047459785;IV.II_ancWT6_Iz6
171;IV.I_E73_Iz6;IV.I;IV;I;E73;Iz6;ev24;24C;WT;512;0.643243243;0.66796875;0.024725507;IV.I_ancWT6_Iz6
172;IV.I_E73_Iz6;IV.I;IV;I;E73;Iz6;ev24;24C;WT;760;0.643243243;0.672368421;0.029125178;IV.I_ancWT6_Iz6
